cust_id,first_name,last_name,phone,gender,addresses,city_name,state_name
1,Merri,Waelchi,1-229-325-2871,f,9429 Sol Oval,North Valburgh,Rhode Island
2,Kathe,Block,(491) 002-0106,f,1251 Von Centers,Port Marinda,Nebraska
3,Titus,Stamm,891-423-1722,f,90661 Theodore Junctions,Frederickburgh,Massachusetts
4,Ona,Dicki,1-584-701-3504,m,595 Hegmann Viaduct,Hymanfurt,Mississippi
5,Teodoro,Cummerata,510.062.2724,f,592 Blanch Extensions,Port Carmachester,Massachusetts
6,Wade,Williamson,(160) 521-1386,m,220 Sade Streets,Lake Jarredville,Mississippi
7,Vonda,Kris,(100) 230-4885,f,6794 Barrows Bridge,Beckieport,Wisconsin
8,Blaine,Pouros,665-629-3562,f,7157 Herzog Green,West Necole,Rhode Island
9,Cherise,Rempel,1-825-329-8895,f,4021 Carri Wall,Bednarville,Oklahoma
10,Benton,Wiza,1-720-114-5747,f,3955 Buddy Isle,Schoenchester,Montana
11,Jerold,Murphy,(500) 333-4035,m,873 Huel Club,South Darellborough,Washington
12,Alecia,Borer,350.404.7814,m,8940 Bridgett Place,South Tabitha,Georgia
13,Bobbi,Hartmann,1-934-669-1226,m,72967 Richie Prairie,Hagenesmouth,Virginia
14,Jennie,Luettgen,625.115.4095,f,67991 Hills Station,North Willie,Indiana
15,Jamar,Brown,1-442-225-2973,m,59213 Torri Harbor,North Daraland,Washington
16,Bethel,Schamberger,952.457.2603,f,98809 Lueilwitz Village,East Imogene,Pennsylvania
17,Lottie,Abshire,680-004-8947,f,4777 Reid Points,Gutmannchester,West Virginia
18,Eldridge,Raynor,331.107.9358,f,54088 Medhurst Spring,North Tandy,South Carolina
19,Cindi,Doyle,353-452-1449,f,3640 Ferry Shores,East Shemekaville,Delaware
20,Anibal,Bahringer,564.130.2816,m,9710 Theresia Mews,Morissettefort,Pennsylvania
21,Dagny,Torp,(494) 139-9378,f,7229 Humberto Flats,Port Vena,North Dakota
22,Carmela,Klein,(751) 440-7174,m,8976 Toy Valley,Alview,Idaho
23,Karl,Kuhic,1-387-021-7017,m,84444 Cathryn Court,Sylviafurt,Missouri
24,Jerome,Feeney,1-852-608-8376,m,8242 Durgan Radial,South Wernermouth,New Jersey
25,Roxy,Langosh,1-149-138-8305,m,200 Strosin Village,Gertrudebury,Maine
26,Teri,Thiel,209.231.8439,f,129 Langworth Junctions,Mayerton,Michigan
27,Laila,Cummerata,250.067.8434,m,82017 Gloria Fords,Bernierstad,Hawaii
